0050, clackercart
073D, box corner sofa
0745, stacked magazines
074A, menu chalkboard
074C, desk mirror
074E, mug
0753, grand piano
0759, plastic canister
0760, rice cooker
0761, ring
0764, hourglass
076B, autograph cards
0779, wooden chair
0789, toilet
07DA, ball
07DC, chalkboard
07DD, lecture-hall bench
07DE, lecture-hall desk
07E4, director's chair
0833, shovel
0834, axe
0839, 100 Bells
083A, 200 Bells
083B, 300 Bells
083C, 400 Bells
083D, 500 Bells
083E, 600 Bells
083F, 700 Bells
0840, 800 Bells
0841, 900 Bells
0842, 1,000 Bells
0843, 2,000 Bells
0844, 3,000 Bells
0845, 4,000 Bells
0846, 5,000 Bells
0847, 6,000 Bells
0848, 7,000 Bells
0849, 8,000 Bells
084A, 9,000 Bells
084B, 10,000 Bells
084C, 11,000 Bells
084D, 12,000 Bells
084E, 13,000 Bells
084F, 14,000 Bells
0850, 15,000 Bells
0851, 16,000 Bells
0852, 17,000 Bells
0853, 18,000 Bells
0854, 19,000 Bells
0855, 20,000 Bells
0856, 21,000 Bells
0857, 22,000 Bells
0858, 23,000 Bells
0859, 24,000 Bells
085A, 25,000 Bells
085B, 26,000 Bells
085C, 27,000 Bells
085D, 28,000 Bells
085E, 29,000 Bells
085F, 30,000 Bells
0860, 31,000 Bells
0861, 32,000 Bells
0862, 33,000 Bells
0863, 34,000 Bells
0864, 35,000 Bells
0865, 36,000 Bells
0866, 37,000 Bells
0867, 38,000 Bells
0868, 39,000 Bells
0869, 40,000 Bells
086A, 41,000 Bells
086B, 42,000 Bells
086C, 43,000 Bells
086D, 44,000 Bells
086E, 45,000 Bells
086F, 46,000 Bells
0870, 47,000 Bells
0871, 48,000 Bells
0872, 49,000 Bells
0873, 50,000 Bells
0874, 51,000 Bells
0875, 52,000 Bells
0876, 53,000 Bells
0877, 54,000 Bells
0878, 55,000 Bells
0879, 56,000 Bells
087A, 57,000 Bells
087B, 58,000 Bells
087C, 59,000 Bells
087D, 60,000 Bells
087E, 61,000 Bells
087F, 62,000 Bells
0880, 63,000 Bells
0881, 64,000 Bells
0882, 65,000 Bells
0883, 66,000 Bells
0884, 67,000 Bells
0885, 68,000 Bells
0886, 69,000 Bells
0887, 70,000 Bells
0888, 71,000 Bells
0889, 72,000 Bells
088A, 73,000 Bells
088B, 74,000 Bells
088C, 75,000 Bells
088D, 76,000 Bells
088E, 77,000 Bells
088F, 78,000 Bells
0890, 79,000 Bells
0891, 80,000 Bells
0892, 81,000 Bells
0893, 82,000 Bells
0894, 83,000 Bells
0895, 84,000 Bells
0896, 85,000 Bells
0897, 86,000 Bells
0898, 87,000 Bells
0899, 88,000 Bells
089A, 89,000 Bells
089B, 90,000 Bells
089C, 91,000 Bells
089D, 92,000 Bells
089E, 93,000 Bells
089F, 94,000 Bells
08A0, 95,000 Bells
08A1, 96,000 Bells
08A2, 97,000 Bells
08A3, 98,000 Bells
08A4, 99,000 Bells
08A5, apple
08A6, orange
08A7, bitterling
08A8, pale chub
08A9, dace
08AB, carp
08AC, koi
08AD, pop-eyed goldfish
08AE, killifish
08AF, crawfish
08B0, soft-shelled turtle
08B1, tadpole
08B2, frog
08B3, freshwater goby
08B4, loach
08B5, catfish
08B7, giant snakehead
08B8, bluegill
08B9, yellow perch
08BA, black bass
08BB, pike
08BC, pond smelt
08BD, sweetfish
08BE, cherry salmon
08BF, char
08C1, stringfish
08C2, salmon
08C3, king salmon
08C4, mitten crab
08C5, guppy
08C6, nibble fish
08C7, angelfish
08C8, neon tetra
08C9, piranha
08CA, arowana
08CB, dorado
08CC, gar
08CD, arapaima
08CE, saddled bichir
08CF, sea butterfly
08D0, sea horse
08D1, clown fish
08D2, surgeonfish
08D3, butterfly fish
08D4, Napoleonfish
08D5, zebra turkeyfish
08D6, blowfish
08D7, puffer fish
08D8, horse mackerel
08D9, barred knifejaw
08DA, sea bass
08DB, red snapper
08DC, dab
08DD, olive flounder
08DE, squid
08DF, moray eel
08E0, ribbon eel
08E1, football fish
08E2, tuna
08E3, blue marlin
08E4, giant trevally
08E5, ray
08E6, ocean sunfish
08E7, hammerhead shark
08E8, great white shark
08E9, saw shark
08EA, whale shark
08EB, oarfish
08EC, coelacanth
08ED, pear
08EE, peach
08EF, cherry
08F0, coconut
08F7, bamboo shoot
08FA, pacifier
08FE, TopsDefault (UNUSED)
08FF, BottomsDefault (UNUSED)
0900, red cosmos
0901, white cosmos
090F, drinking fountain
0916, water pump
0919, tire toy
091D, solar panel
091F, lighthouse
0930, parabolic antenna
0946, lost item
0947, lost item
0948, flimsy net
0949, fishing rod
094B, watering can
094D, communicator part
0955, rusted part
0961, letter jacket
0962, trench coat
0963, denim pants
0965, K.K. Chorale
0966, K.K. March
0967, K.K. Waltz
0968, K.K. Swing
0969, K.K. Jazz
096A, K.K. Fusion
096B, K.K. Étude
096C, K.K. Lullaby
096D, K.K. Aria
096E, K.K. Samba
096F, K.K. Bossa
0970, K.K. Calypso
0971, K.K. Salsa
0972, K.K. Mambo
0973, K.K. Reggae
0974, K.K. Ska
0975, K.K. Tango
0976, K.K. Faire
0977, Aloha K.K.
0978, Lucky K.K.
0979, K.K. Condor
097A, K.K. Steppe
097B, Imperial K.K.
097C, K.K. Casbah
097D, K.K. Safari
097E, K.K. Folk
097F, K.K. Rock
0980, Rockin' K.K.
0981, K.K. Ragtime
0982, K.K. Gumbo
0983, The K. Funk
0984, K.K. Blues
0985, Soulful K.K.
0986, K.K. Soul
0987, K.K. Cruisin'
0988, K.K. Love Song
0989, K.K. D&B
098A, K.K. Technopop
098B, DJ K.K.
098C, Only Me
098D, K.K. Country
098E, Surfin' K.K.
098F, K.K. Ballad
0990, Comrade K.K.
0991, K.K. Lament
0992, Go K.K. Rider
0993, K.K. Dirge
0994, K.K. Western
0995, Mr. K.K.
0996, Café K.K.
0997, K.K. Parade
0998, K.K. Mariachi
0999, K.K. Song
099A, I Love You
099B, Two Days Ago
099C, My Place
099D, Forest Life
099E, To the Edge
099F, Pondering
09A0, K.K. Dixie
09A1, K.K. Marathon
09A2, King K.K.
09A3, Mountain Song
09A4, Marine Song 2001
09A5, Neapolitan
09A6, Steep Hill
09A7, K.K. Rockabilly
09A8, Agent K.K.
09A9, K.K. Rally
09AA, K.K. Metal
09AB, Stale Cupcakes
09AC, Spring Blossoms
09AD, Wandering
09AE, K.K. House
09AF, K.K. Sonata
09B0, Hypno K.K.
09B1, K.K. Stroll
09B2, K.K. Island
09B3, Space K.K.
09B4, K.K. Adventure
09B5, K.K. Oasis
09B6, K.K. Bazaar
09B7, K.K. Milonga
09B8, K.K. Groove
09B9, K.K. Jongara
09BA, K.K. Flamenco
09BB, K.K. Moody
09BC, Bubblegum K.K.
09BD, K.K. Synth
09BE, K.K. Disco
09BF, K.K. Birthday
09C2, three-ball tee
09C4, tree branch
09C5, bamboo piece
09C6, stone
09C9, gold nugget
09CF, iron nugget
09D1, customization kit
09ED, two-ball tee
09EF, cliff construction permit
09F0, star wand
09F1, treasure
09F2, What was this again?
09F6, travel pouch
09F9, iron frame
09FA, double sofa
09FB, garbage can
09FC, garbage pail
09FE, wooden-block chair
09FF, pot
0A00, wooden chest
0A01, floor lamp
0A02, candle
0A03, MyDesignTexture (UNUSED)
0A07, manila clam
0A0B, ordinary mailbox
0A0C, ShoesHighcutSneaker0 (UNUSED)
0A12, pitfall seed
0A13, fossil
0A1A, natural garden chair
0A20, tin bucket
0A21, steel-toed boots
0A24, juicy-apple TV
0A27, satin dress
0A2D, wooden simple bed
0A31, ribbon
0A32, CapOrnamentLRibbon1 (UNUSED)
0A36, mountain bike
0A37, ladder
0A3E, FtrStandWoodS (UNUSED)
0A3F, FtrStandWoodM (UNUSED)
0A40, clump of weeds
0A42, red-cosmos bag
0A43, red-cosmos stems
0A44, red-cosmos buds
0A45, white-cosmos bag
0A46, white-cosmos stems
0A47, white-cosmos buds
0A48, 10 turnips
0A49, 20 turnips
0A4A, 30 turnips
0A4B, 40 turnips
0A4C, 50 turnips
0A4D, 60 turnips
0A4E, 70 turnips
0A4F, 80 turnips
0A50, 90 turnips
0A51, 100 turnips
0A52, spoiled turnips
0A5F, striped shirt
0A6E, layered tank
0A70, silk shirt
0A72, raglan tee
0A75, tweed dress
0A7E, gumdrop dress
0A7F, tropical muumuu
0A87, ダミーDIYレシピ
0A8B, academy uniform
0A90, layered tank dress
0A92, retro dress
0A99, refrigerator
0AA5, simple knit sweater
0AA7, basketball tank
0AAA, TopsTexTopOuterLKnit1 (UNUSED)
0AAB, digital alarm clock
0AB0, retro fan
0AB4, automatic washer
0ABA, hand-knit tank
0ABE, tent
0AC1, party popper
0AC2, simple well
0AC3, Blathers's tent marker
0AC4, shop construction kit
0AC5, 's tent
0ACF, softwood
0AD0, wood
0AD1, hardwood
0AD2, chessboard
0AD3, round space heater
0AD4, fancy violin
0AD7, squat toilet
0AD8, tankless toilet
0AD9, medicine
0ADA, down jacket
0ADB, birthday cupcake
0ADD, kung-fu tee
0ADE, peacoat
0ADF, dazed dress
0AE0, prim outfit
0AEA, sapling
0AEC, small young hardwood
0AED, medium young hardwood
0AEE, large young hardwood
0AEF, hardwood tree
0AF0, cedar sapling
0AF2, small young cedar
0AF3, medium young cedar
0AF4, large young cedar
0AF5, cedar tree
0AF6, nursery coconut
0AF7, small young coconut
0AF8, medium young coconut
0AF9, large young coconut
0AFA, coconut tree
0AFB, nursery bamboo
0AFC, small young bamboo
0AFD, medium young bamboo
0AFE, large young bamboo
0AFF, bamboo tree
0B06, slingshot
0B07, TopsTexTopYshirtsLStandard0 (UNUSED)
0B0D, ToolPinataStick (UNUSED)
0B2F, yellow cosmos
0B30, yellow-cosmos bag
0B31, yellow-cosmos stems
0B32, yellow-cosmos buds
0B33, pink cosmos
0B35, pink-cosmos stems
0B36, pink-cosmos buds
0B37, orange cosmos
0B39, orange-cosmos stems
0B3A, orange-cosmos buds
0B3B, black cosmos
0B3D, black-cosmos stems
0B3E, black-cosmos buds
0B3F, white tulips
0B40, white-tulip bag
0B41, white-tulip stems
0B42, white-tulip buds
0B43, red tulips
0B44, red-tulip bag
0B45, red-tulip stems
0B46, red-tulip buds
0B47, yellow tulips
0B48, yellow-tulip bag
0B49, yellow-tulip stems
0B4A, yellow-tulip buds
0B4B, pink tulips
0B4D, pink-tulip stems
0B4E, pink-tulip buds
0B4F, orange tulips
0B51, orange-tulip stems
0B52, orange-tulip buds
0B53, purple tulips
0B55, purple-tulip stems
0B56, purple-tulip buds
0B57, black tulips
0B59, black-tulip stems
0B5A, black-tulip buds
0B5B, white pansies
0B5C, white-pansy bag
0B5D, white-pansy stems
0B5E, white-pansy buds
0B5F, red pansies
0B60, red-pansy bag
0B61, red-pansy stems
0B62, red-pansy buds
0B63, yellow pansies
0B64, yellow-pansy bag
0B65, yellow-pansy stems
0B66, yellow-pansy buds
0B67, orange pansies
0B69, orange-pansy stems
0B6A, orange-pansy buds
0B6B, purple pansies
0B6D, purple-pansy stems
0B6E, purple-pansy buds
0B6F, blue pansies
0B71, blue-pansy stems
0B72, blue-pansy buds
0B73, white roses
0B74, white-rose bag
0B75, white-rose stems
0B76, white-rose buds
0B77, red roses
0B78, red-rose bag
0B79, red-rose stems
0B7A, red-rose buds
0B7B, yellow roses
0B7C, yellow-rose bag
0B7D, yellow-rose stems
0B7E, yellow-rose buds
0B7F, pink roses
0B81, pink-rose stems
0B82, pink-rose buds
0B83, orange roses
0B85, orange-rose stems
0B86, orange-rose buds
0B87, purple roses
0B89, purple-rose stems
0B8A, purple-rose buds
0B8B, black roses
0B8D, black-rose stems
0B8E, black-rose buds
0B8F, blue roses
0B91, blue-rose stems
0B92, blue-rose buds
0B93, gold roses
0B95, gold-rose stems
0B96, gold-rose buds
0BA3, white lilies
0BA4, white-lily bag
0BA5, white-lily stems
0BA6, white-lily buds
0BA7, red lilies
0BA8, red-lily bag
0BA9, red-lily stems
0BAA, red-lily buds
0BAB, yellow lilies
0BAC, yellow-lily bag
0BAD, yellow-lily stems
0BAE, yellow-lily buds
0BAF, pink lilies
0BB1, pink-lily stems
0BB2, pink-lily buds
0BB3, orange lilies
0BB5, orange-lily stems
0BB6, orange-lily buds
0BB7, black lilies
0BB9, black-lily stems
0BBA, black-lily buds
0BEE, belted dotted dress
0BEF, sailor's tee
0BF0, simple parka
0BF1, kids' smock
0BF2, cheerleading uniform
0BF3, overall dress
0BF8, cooler box
0BF9, gold bars
0BFC, flimsy axe
0BFD, blossom dress
0BFE, lace-up dress
0C03, path construction permit
0C04, じぶんのスマホ
0C05, メモ
0C06, tourist telescope
0C08, brick fence
0C0A, flimsy shovel
0C0B, flimsy watering can
0C0C, flimsy fishing rod
0C12, clay
0C17, stockings
0C18, fishnet tights
0C32, mini DIY workbench
0C38, plover dress
0C3B, fancy party dress
0C3E, rad power skirt suit
0C3F, festive dress
0C41, fairy-tale dress
0C42, maid dress
0C44, graduation gown
0C46, TopsTexOnepieceBalloonHWaitress0 (UNUSED)
0C48, short-sleeve dress shirt
0C49, TopsTexTopYshirtsNStandard0 (UNUSED)
0C4A, bunny dress
0C57, noble zap suit
0C5C, hanten jacket
0C5D, bathrobe
0C5E, ballet outfit
0C5F, cat dress
0C60, alpinist dress
0C61, festive-tree dress
0C62, raincoat
0C63, noble coat
0C64, TopsTexTopYshirtsHPolo0 (UNUSED)
0C66, doctor's coat
0C69, chef's outfit
0C6A, cafÃ© uniform
0C6B, gym tee
0C77, ironwood table
0C78, tank
0C79, ironwood chair
0C7A, ironwood low table
0C7B, ironwood cart
0C7C, ironwood dresser
0C7D, comedian's outfit
0C7E, biker jacket
0C80, ironwood bed
0C83, garden tank
0C85, wooden-block stereo
0C86, wooden-block toy
0C88, wooden-block wall clock
0C89, denim jacket
0C8C, rubber apron
0C8D, ToolBookInsect (UNUSED)
0C93, fishing vest
0C96, faux-shearling coat
0C99, flannel shirt
0C9A, parka dress
0C9B, denim vest
0C9C, apron
0C9D, clothesline
0C9E, futon
0C9F, military uniform
0CA0, caveman tank
0CA1, cavalier shirt
0CA2, sweater dress
0CA5, TopsTexTopYshirtsHAloha0 (UNUSED)
0CA7, lacy tank
0CAC, athletic jacket
0CAD, western shirt
0CAE, relay tank
0CAF, waterscaping permit
0CB0, silk floral-print shirt
0CB1, soccer-uniform top
0CB3, gas range
0CB4, LCD TV (50 in.)
0CB5, tiger jacket
0CB6, happi tee
0CB7, mountain parka
0CB8, dragon jacket
0CB9, camo tee
0CBA, cycling shirt
0CBB, chick tee
0CBC, princess dress
0CBD, TopsTexOnepieceRibNKnit0 (UNUSED)
0CBE, argyle vest
0CBF, wasp nest
0CC0, explorer tee
0CC1, flashy jacket
0CC2, work shirt
0CC4, sushi chef's outfit
0CC5, emblem blazer
0CC6, ironwood kitchenette
0CC7, ironwood cupboard
0CCB, ironwood clock
0CCC, elegant mushroom
0CCD, round mushroom
0CCE, skinny mushroom
0CCF, flat mushroom
0CD0, rare mushroom
0CD2, pop-up toaster
0CD3, royal shirt
0CD6, strawberry dress
0CD7, watermelon dress
0CD8, orange dress
0CD9, kiwi dress
0CDA, grape dress
0CDD, pineapple dress
0CE0, sweatpants
0CE1, tweed skirt
0CE9, baby chair
0CEB, digital scale
0CEC, chino pants
0CED, pleather pants
0CEE, slacks
0CEF, athletic pants
0CF0, striped pants
0CF1, worn-out jeans
0CF4, color-block dress shirt
0CF5, BottomsTexPantsNormalTwotoneMonochrome (UNUSED)
0CF7, BottomsTexSkirtAlineGingham0 (UNUSED)
0CF8, one-ball tee
0CF9, four-ball tee
0CFA, five-ball tee
0CFB, six-ball tee
0CFC, seven-ball tee
0CFD, eight-ball tee
0CFE, nine-ball tee
0D00, sweater on shirt
0D03, timer
0D05, LCD TV (20 in.)
0D06, TopsTexTopYshirtsLSportsjersey0 (UNUSED)
0D07, BottomsTexPantsNormalSportsjersey0 (UNUSED)
0D09, kilt
0D0B, waistcoat
0D0C, deer decoration
0D0D, sailor skirt
0D0E, camo pants
0D10, steamer-basket set
0D11, lifeguard chair
0D12, public bench
0D13, TopsTexOnepieceBoxHNurse0 (UNUSED)
0D14, plastic pool
0D15, housing kit
0D16, nurse's jacket
0D17, cargo pants
0D19, cuffed pants
0D1A, PJ outfit
0D1C, nursery apple
0D1D, small young apple
0D1E, medium young apple
0D1F, large young apple
0D20, apple tree
0D21, nursery orange
0D22, small young orange
0D23, medium young orange
0D24, large young orange
0D25, orange tree
0D26, nursery pear
0D27, small young pear
0D28, medium young pear
0D29, large young pear
0D2A, pear tree
0D2B, nursery peach
0D2C, small young peach
0D2D, medium young peach
0D2E, large young peach
0D2F, peach tree
0D31, nursery cherry
0D32, small young cherry
0D33, medium young cherry
0D34, large young cherry
0D35, cherry tree
0D37, striped tank
0D38, lace skirt
0D39, ruffled dress
0D3A, shirtdress
0D3B, sleeveless shirtdress
0D3C, tuxedo jacket
0D44, natural garden table
0D45, stone table
0D46, stone stool
0D47, intercom monitor
0D48, dish-drying rack
0D49, morning coat
0D4A, vertical-board fence
0D4B, bamboo lattice fence
0D4D, dress pants
0D4E, beekeeper's hive
0D4F, katana
0D50, flashy slacks
0D51, jockey uniform
0D52, small cardboard boxes
0D53, medium cardboard boxes
0D54, large cardboard boxes
0D55, FtrPresentboxS (UNUSED)
0D57, termite mound
0D58, soft-serve lamp
0D59, bear costume
0D5C, firefighter uniform
0D5D, frog costume
0D60, kappa costume
0D64, wall-mounted TV (50 in.)
0D66, playground gym
0D67, wall fan
0D6B, fashionable royal dress
0D6C, wooden wardrobe
0D6E, wooden end table
0D6F, wooden table
0D71, palatial tank dress
0D72, sturdy sewing box
0D73, sewing project
0D74, wheelchair
0D75, standard umbrella stand
0D76, western-style stone
0D78, jumper work suit
0D79, wooden stool
0D7A, jester costume
0D7B, TopsTexOnepieceOverallLHero0 (UNUSED)
0D7C, jinbei
0D84, ninja costume
0D86, dragon suit
0D87, western pants
0D88, concierge uniform
0D8A, empty can
0D8B, tea set
0D8C, beach towel
0D8D, boot
0D8E, old tire
0D8F, switch
0D90, golden toilet
0D91, golden seat
0D92, tailored jacket
0D93, flight-crew uniform
0D95, common bluebottle
0D96, paper kite butterfly
0D97, great purple emperor
0D98, drone beetle
0D9A, giraffe stag
0D9B, man-faced stink bug
0D9C, Madagascan sunset moth
0D9D, blue weevil beetle
0D9F, rosalia batesi beetle
0DA1, sweater-vest
0DA2, wooden waste bin
0DA4, mage's robe
0DA5, Ã¡o dÃ i
0DA9, frozen table
0DAA, frozen partition
0DAB, frozen arch
0DAC, frozen pillar
0DAD, frozen sculpture
0DAE, frozen bed
0DAF, frozen chair
0DB0, frozen tree
0DB1, frozen counter
0DB5, garden bench
0DD0, TopsTexOnepieceBlongLKappogi0 (UNUSED)
0DD2, chima jeogori
0DD3, snowflake
0DD4, large snowflake
0DDD, beak
0DDE, handlebar mustache
0DDF, bamboo shelf
0DE1, bamboo partition
0DE2, bamboo candleholder
0DE3, bamboo doll
0DE4, bamboo stopblock
0DE5, bamboo floor lamp
0DE6, bamboo wall decoration
0DE7, iron wall lamp
0DE8, iron worktable
0DE9, iron hanger stand
0DEA, iron wall rack
0DEB, iron shelf
0DEC, TopsTexTopYshirtsHRco00 (UNUSED)
0DED, security uniform
0DF2, toga
0DF3, BottomsTexPantsHalfRco00 (UNUSED)
0DF4, TopsTexOnepieceKimonoLUme0 (UNUSED)
0DF5, mysterious dress
0DF6, chiton
0DF7, kanji tee
0DF8, moldy dress
0DF9, pharaoh's outfit
0DFA, TopsTexTopYshirtsLCardiganyshirt0 (UNUSED)
0DFB, argyle sweater
0DFC, bonsai shelf
0DFD, fish-drying rack
0DFE, book
0DFF, fishing-boat flag
0E00, writing poster
0E02, magazine
0E03, fishing-rod stand
0E04, signpost
0E06, desktop computer
0E07, birthday candles
0E08, birthday cake
0E09, birthday table
0E0A, birthday sign
0E0B, park clock
0E0C, pool
0E0D, flower sweater
0E0F, tennis sweater
0E16, desert outfit
0E17, mummy outfit
0E19, bone costume
0E1A, wrestler uniform
0E1B, baseball uniform
0E1C, pilot's uniform
0E1D, suit of lights
0E1E, milkmaid dress
0E1F, open-frame kitchen
0E20, system kitchen
0E21, stall
0E22, cutting board
0E23, soup kettle
0E24, toy cockroach
0E25, loft bed with desk
0E26, floor seat
0E27, toy box
0E28, cute bed
0E2E, yodel sweater
0E2F, TopsTexTopOuterLSnow0 (UNUSED)
0E30, yodel cardigan
0E31, Aran-knit sweater
0E33, dreamy sweater
0E34, space suit
0E3B, Aran-knit cardigan
0E46, oil lamp
0E47, racing outfit
0E4A, bamboo basket
0E4C, skirt with suspenders
0E4E, box-skirt uniform
0E4F, TopsTexTopCoatLNocollar0 (UNUSED)
0E52, TopsTexTopYshirtsLRugby0 (UNUSED)
0E54, TopsTexOnepieceOverallLSaropetto0 (UNUSED)
0E57, TopsTexTopOuterLSweat0 (UNUSED)
0E58, cardboard box
0E59, sailor-collar dress
0E5A, TopsTexTopTshirtsLHenley0 (UNUSED)
0E5B, hay bed
0E5C, gilet and shirt
0E5D, vertical-stripes shirt
0E60, coverall coat
